Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,136.100006,137.639999,136.080002,136.619995,131.986633,668866
2020-02-11,138.000000,138.779999,136.899994,138.000000,133.319839,976754
2020-02-12,138.479996,138.979996,136.199997,136.600006,131.967331,1323454
2020-02-13,134.000000,138.300003,130.759995,132.800003,128.296188,2023142
2020-02-14,133.399994,133.820007,129.759995,129.860001,125.455894,1759988
2020-02-17,129.000000,130.979996,127.059998,130.979996,126.537918,1239666
2020-02-18,130.500000,132.059998,130.059998,130.259995,125.842339,1225040
2020-02-19,130.759995,131.919998,130.179993,131.800003,127.330101,1221803
2020-02-20,131.300003,133.679993,131.259995,131.779999,127.310783,1095571
2020-02-21,131.240005,132.199997,129.600006,130.839996,126.402672,1237311
2020-02-24,126.760002,127.360001,124.040001,124.379997,120.161751,2631098
2020-02-25,125.559998,126.320000,123.519997,123.540001,119.350243,2168881
2020-02-26,122.400002,122.519997,117.699997,120.559998,116.471306,2641213
2020-02-27,117.559998,117.839996,113.059998,115.000000,111.099861,3604297
2020-02-28,108.059998,112.120003,105.639999,108.099998,104.433876,5697178
2020-03-02,110.000000,111.919998,103.360001,107.620003,103.970161,4352851
2020-03-03,109.580002,114.459999,108.639999,112.120003,108.317543,4116304
2020-03-04,112.120003,112.500000,109.940002,110.959999,107.196884,2046426
2020-03-05,110.879997,111.500000,105.800003,107.720001,104.066765,2689493
2020-03-06,103.900002,104.980003,99.500000,99.500000,96.125534,4273436
2020-03-09,89.300003,95.459999,87.010002,89.989998,86.938057,6098900
2020-03-10,91.419998,96.410004,88.940002,89.620003,86.580605,4342684
2020-03-11,91.480003,92.940002,85.650002,85.699997,82.793549,4037128
2020-03-12,77.000000,80.750000,70.839996,71.360001,68.939888,6948250
2020-03-13,75.000000,80.540001,69.169998,74.330002,71.809158,5478797
2020-03-16,66.570000,70.519997,56.400002,69.000000,66.659920,5587845
2020-03-17,71.349998,72.330002,60.020000,63.040001,60.902050,4556332
2020-03-18,56.750000,57.980000,48.119999,49.064999,47.400997,7222873
2020-03-19,51.340000,54.790001,49.590000,53.730000,51.907787,5948316
2020-03-20,63.650002,68.080002,59.560001,63.779999,61.616951,6513253
2020-03-23,60.450001,64.940002,54.560001,55.000000,53.134720,5709289
2020-03-24,60.000000,60.369999,54.419998,55.980000,54.081482,5917619
2020-03-25,60.369999,61.400002,52.849998,60.009998,57.974808,6861866
2020-03-26,60.000000,75.190002,59.000000,72.290001,69.838341,6003754
2020-03-27,72.279999,74.739998,65.040001,68.169998,65.858070,4577544
2020-03-30,67.309998,67.400002,60.369999,60.930000,58.863609,3942743
2020-03-31,63.000000,64.639999,59.340000,59.340000,57.327534,4388129
2020-04-01,58.000000,58.799999,52.099998,52.200001,50.429680,5473512
2020-04-02,54.709999,54.970001,50.000000,50.270000,48.565132,4727133
2020-04-03,50.560001,51.900002,49.505001,49.505001,47.826080,3611057
2020-04-06,53.549999,54.889999,50.910000,53.529999,51.714569,4536814
2020-04-07,57.340000,59.740002,56.340000,57.040001,55.105537,4725986
2020-04-08,56.900002,59.810001,54.630001,59.810001,57.781597,3689182
2020-04-09,62.500000,63.200001,57.150002,61.000000,58.931232,5865210
2020-04-14,61.660000,62.029999,59.209999,60.000000,57.965153,3251938
2020-04-15,61.000000,61.200001,54.529999,54.799999,52.941505,3149765
2020-04-16,56.490002,57.000000,52.619999,53.200001,51.395767,3224520
2020-04-17,58.500000,58.700001,55.110001,56.799999,54.873676,4630925
2020-04-20,57.549999,57.980000,54.810001,55.619999,53.733692,2355583
2020-04-21,55.400002,55.400002,51.869999,51.959999,50.197819,3277862
2020-04-22,52.500000,53.790001,51.700001,53.529999,51.714569,2009235
2020-04-23,53.860001,54.919998,52.549999,54.250000,52.410156,1805786
2020-04-24,53.540001,53.669998,52.020000,52.340000,50.564930,2081357
2020-04-27,52.990002,53.230000,50.150002,51.070000,49.338001,3880637
2020-04-28,51.070000,54.099998,51.070000,52.880001,51.086617,3707630
2020-04-29,53.200001,58.459999,51.599998,58.389999,56.409748,4838851
2020-04-30,60.000000,65.260002,57.049999,57.880001,55.917049,5434805
2020-05-04,55.000000,55.689999,52.709999,55.000000,53.134720,3824066
2020-05-05,56.270000,57.900002,55.680000,56.439999,54.525879,2531046
2020-05-06,55.900002,56.400002,53.360001,53.700001,51.878811,2373641
2020-05-07,53.799999,56.139999,52.889999,55.750000,53.859280,1949715
